Country/Region,Confirmed,Deaths,Recovered,Active,New_Cases,New_deaths,New_recovered,WHO_Region
Afghanistan,44503,1675,35422,7406,60,14,52,Eastern Mediterranean
Albania,32196,685,15469,16042,737,13,414,Europe
Algeria,73774,2255,48183,23336,1019,19,602,Africa
Andorra,6207,76,5290,841,65,0,51,Europe
Angola,14413,336,7273,6804,146,2,156,Africa
Antigua and Barbuda,139,4,128,7,0,0,1,Americas
Argentina,1366182,36902,1187053,142227,7140,112,9234,Americas
Armenia,124839,1931,92829,30079,1193,31,2075,Europe
Australia,27821,907,25522,1392,15,0,1,Western Pacific
Austria,241962,2328,162751,76883,6611,104,6268,Europe
Azerbaijan,89898,1107,62243,26548,2735,28,1374,Europe
Bahamas,7395,163,5628,1604,28,0,112,Americas
Bahrain,85591,338,83617,1636,124,0,201,Eastern Mediterranean
Bangladesh,445281,6350,360352,78579,1847,28,1921,South-East Asia
Barbados,255,7,241,7,2,0,0,Americas
Belarus,122435,1089,102113,19233,1588,8,1364,Europe
Belgium,556904,15522,0,541382,3224,170,0,Europe
Belize,5110,112,2800,2198,54,5,40,Americas
Benin,2916,43,2579,294,0,0,0,Africa
Bhutan,379,0,360,19,1,0,2,South-East Asia
Bolivia,143922,8904,119180,15838,68,4,151,Americas
Bosnia and Herzegovina,79309,2246,43793,33270,1315,37,877,Europe
Botswana,9594,31,7296,2267,0,0,0,Africa
Brazil,6052786,168989,5437189,446608,32622,376,6293,Americas
Brunei,148,3,145,0,0,0,0,Western Pacific
Bulgaria,120697,2820,35752,82125,2279,42,1364,Europe
Burkina Faso,2703,68,2521,114,17,0,45,Africa
Burma,77848,1722,57679,18447,1434,27,1078,South-East Asia
Burundi,656,1,575,80,7,0,0,Africa
Cabo Verde,10234,104,9649,481,82,0,23,Africa
Cambodia,306,0,295,11,1,0,0,Western Pacific
Cameroon,23528,435,22177,916,0,0,0,Africa
Canada,329071,11454,0,317617,4932,70,0,Americas
Central African Republic,4911,63,1924,2924,0,0,0,Africa
Chad,1633,101,1469,63,7,0,4,Africa
Chile,539143,15030,514584,9529,1558,27,1657,Americas
China,92037,4742,85145,2150,60,0,18,Western Pacific
Colombia,1240493,35104,1144923,60466,7049,175,6342,Americas
Comoros,596,7,572,17,4,0,9,Africa
Congo (Brazzaville),5632,93,3887,1652,0,0,0,Africa
Congo (Kinshasa),12180,327,11300,553,51,3,58,Africa
Costa Rica,129418,1608,79372,48438,0,0,0,Americas
Cote d'Ivoire,21126,129,20777,220,27,0,29,Africa
Croatia,100410,1304,80027,19079,3573,47,2640,Europe
Cuba,7798,132,7307,359,35,1,40,Americas
Cyprus,8456,43,2055,6358,245,0,0,Europe
Czechia,490750,7095,394830,88825,3187,74,4957,Europe
Denmark,70134,781,54931,14422,1274,3,966,Europe
Djibouti,5661,61,5552,48,1,0,1,Eastern Mediterranean
Dominica,72,0,55,17,4,0,14,Americas
Dominican Republic,137770,2308,112090,23372,986,2,409,Americas
Ecuador,184876,13139,160639,11098,1036,44,0,Americas
Egypt,112676,6535,101783,4358,358,14,98,Eastern Mediterranean
El Salvador,37250,1070,33984,2196,0,6,0,Americas
Equatorial Guinea,5130,85,4975,70,9,0,0,Africa
Eritrea,551,0,473,78,24,0,17,Africa
Estonia,9375,87,5661,3627,299,0,365,Europe
Eswatini,6205,119,5850,236,20,0,11,Africa
Ethiopia,105352,1636,65534,38182,473,16,209,Africa
Fiji,35,2,33,0,0,0,1,Western Pacific
Finland,21216,375,15300,5541,469,0,0,Europe
France,2178023,48593,156755,1972675,17680,252,926,Europe
Gabon,9131,59,8976,96,0,0,0,Africa
Gambia,3726,123,3582,21,20,1,4,Africa
Georgia,100684,927,81783,17974,3824,33,3851,Europe
Germany,927990,14061,600991,312938,13872,143,13211,Europe
Ghana,50717,323,49281,1113,86,0,178,Africa
Greece,90121,1527,23074,65520,2309,108,0,Europe
Greenland,18,0,18,0,0,0,0,Europe
Grenada,41,0,30,11,0,0,0,Americas
Guatemala,118417,4074,107241,7102,660,7,516,Americas
Guinea,12798,75,11821,902,55,0,32,Africa
Guinea-Bissau,2421,43,2286,92,0,0,0,Africa
Guyana,5093,143,4018,932,88,0,34,Americas
Haiti,9214,232,7854,1128,3,0,0,Americas
Holy See,27,0,15,12,0,0,0,Europe
Honduras,104435,2857,46208,55370,884,4,383,Americas
Hungary,170298,3689,40820,125789,4397,121,2746,Europe
Iceland,5269,26,5019,224,18,0,26,Europe
India,9095806,133227,8521617,440962,45209,501,43493,South-East Asia
Indonesia,493308,15774,413955,63579,4998,96,3403,South-East Asia
Iran,841308,44327,596136,200845,12931,431,7111,Eastern Mediterranean
Iraq,533555,11925,463040,58590,1786,42,2646,Eastern Mediterranean
Ireland,70143,2022,23364,44757,341,4,0,Europe
Israel,328397,2757,317171,8469,649,13,627,Europe
Italy,1380531,49261,539524,791746,34764,692,19502,Europe
Jamaica,10240,237,5481,4522,89,2,49,Americas
Japan,130871,1932,108981,19958,2586,2,1460,Western Pacific
Jordan,178161,2172,108353,67636,3826,56,4519,Eastern Mediterranean
Kazakhstan,125466,1945,112292,11229,756,0,397,Europe
Kenya,76404,1366,51352,23686,1211,17,368,Africa
Kosovo,33588,904,20493,12191,711,19,721,Europe
Kuwait,139734,863,131560,7311,426,2,511,Eastern Mediterranean
Kyrgyzstan,69149,1227,60294,7628,447,4,505,Europe
Laos,25,0,23,2,0,0,0,Western Pacific
Latvia,12744,153,1557,11034,642,7,0,Europe
Lebanon,115283,894,66135,48254,1628,10,1450,Eastern Mediterranean
Lesotho,2085,44,1276,765,19,0,0,Africa
Liberia,1551,82,1331,138,0,0,0,Africa
Libya,76808,1068,47587,28153,0,0,0,Eastern Mediterranean
Liechtenstein,1109,8,883,218,15,0,0,Europe
Lithuania,44740,374,10869,33497,1983,17,371,Europe
Luxembourg,29762,260,20014,9488,0,0,0,Europe
Madagascar,17310,250,16592,468,0,0,0,Africa
Malawi,6003,185,5441,377,0,0,2,Africa
Malaysia,53679,332,40493,12854,1041,3,1405,Western Pacific
Maldives,12578,45,11559,974,32,0,62,South-East Asia
Mali,4206,143,3012,1051,37,0,9,Africa
Malta,8822,111,6565,2146,141,3,159,Europe
Marshall Islands,4,0,1,3,0,0,0,Western Pacific
Mauritania,8096,169,7573,354,21,0,13,Africa
Mauritius,494,10,433,51,0,0,0,Africa
Mexico,1025969,100823,770728,154418,0,0,0,Americas
Moldova,96689,2130,78112,16447,1306,19,1232,Europe
Monaco,581,3,507,71,4,0,3,Europe
Mongolia,608,0,337,271,30,0,0,Western Pacific
Montenegro,30653,434,19129,11090,574,5,222,Europe
Morocco,320962,5256,266711,48995,4702,74,4499,Eastern Mediterranean
Mozambique,14981,123,0,14858,104,2,0,Africa
Namibia,13811,145,13209,457,99,2,18,Africa
Nepal,218639,1305,193325,24009,1674,7,2323,South-East Asia
Netherlands,486662,8943,6466,471253,6171,48,26,Europe
New Zealand,2028,25,1953,50,9,0,1,Western Pacific
Nicaragua,5725,159,4225,1341,0,0,0,Americas
Niger,1351,70,1158,123,11,0,2,Africa
Nigeria,66228,1166,61884,3178,246,1,102,Africa
North Macedonia,53631,1487,31659,20485,1182,25,707,Europe
Norway,32352,306,17998,14048,338,0,0,Europe
Oman,121360,1365,112406,7589,0,0,0,Eastern Mediterranean
Pakistan,374173,7662,329828,36683,2665,59,897,Eastern Mediterranean
Panama,153577,2946,134360,16271,1288,14,1612,Americas
Papua New Guinea,604,7,586,11,0,0,0,Western Pacific
Paraguay,75857,1652,53988,20217,799,5,486,Americas
Peru,948081,35549,873970,38562,4164,103,2436,Americas
Philippines,416852,8080,375548,33224,1785,55,311,Western Pacific
Poland,843475,13288,407075,423112,24213,574,25275,Europe
Portugal,255970,3824,169379,82767,6472,62,6379,Europe
Qatar,137062,235,134100,2727,174,0,186,Eastern Mediterranean
Romania,412808,9916,287310,115582,9685,160,8634,Europe
Russia,2047563,35442,1564897,447224,24538,462,25545,Europe
Rwanda,5620,46,5163,411,34,0,4,Africa
Saint Kitts and Nevis,19,0,19,0,0,0,0,Americas
Saint Lucia,204,2,60,142,1,0,0,Americas
Saint Vincent and the Grenadines,84,0,78,6,0,0,0,Americas
San Marino,1395,43,1082,270,0,0,0,Europe
Sao Tome and Principe,979,17,920,42,5,0,0,Africa
Saudi Arabia,355034,5761,342882,6391,221,16,478,Eastern Mediterranean
Senegal,15865,330,15465,70,17,0,13,Africa
Serbia,116125,1168,0,114957,5774,28,0,Europe
Seychelles,163,0,159,4,0,0,0,Africa
Sierra Leone,2405,74,1827,504,6,0,0,Africa
Singapore,58148,28,58064,56,5,0,6,Western Pacific
Slovakia,95257,644,43188,51425,1861,30,2372,Europe
Slovenia,64284,1026,43272,19986,1704,31,1581,Europe
Solomon Islands,16,0,5,11,0,0,0,Western Pacific
Somalia,4382,108,3384,890,0,0,0,Eastern Mediterranean
South Africa,765409,20845,707784,36780,2646,86,744,Africa
South Korea,30733,505,26466,3762,330,2,101,Western Pacific
